Tweet_count,Username,Text,Created At,Retweets,Likes
1,Keur Soxna Mai,"Chère communauté,                                         

Notre marque  KEUR SOXNA MAI participe à une exposition en FRANCE plus précisément à Marseille 10 Cour Lorraine 13014 

Samedi 2 Mars 2024 

+33 6 04 04 25 44 https://t.co/TWndIVRIAX",Wed Feb 28 23:24:15 +0000 2024,29,63
2,Actu Foot,🚨 𝗟𝗔 𝗙𝗥𝗔𝗡𝗖𝗘 𝗘𝗦𝗧 𝗦𝗔𝗖𝗥𝗘́𝗘 𝗖𝗛𝗔𝗠𝗣𝗜𝗢𝗡𝗡𝗘 𝗗'𝗘𝗨𝗥𝗢𝗣𝗘 𝗗𝗘 𝗛𝗔𝗡𝗗 𝗣𝗢𝗨𝗥 𝗟𝗔 𝗤𝗨𝗔𝗧𝗥𝗜𝗘̀𝗠𝗘 𝗙𝗢𝗜𝗦 ! 🇫🇷🏆🤾‍♂️ https://t.co/kl2zUUtlD5,Sun Jan 28 18:46:11 +0000 2024,2514,27681
3,momow,"@letheoricien228 Les prix montent, les salaires stagnent, les quantités baissent
Voila la France en 2024",Sat Jan 13 23:02:44 +0000 2024,11,290
4,Netflix France,"Le Cercle des neiges (2024), par J.A. Bayona https://t.co/8dWwKoQvZ9",Wed Jan 10 08:41:01 +0000 2024,115,1159
5,QuotidienSport,"🇫🇷 LA FRANCE EST CHAMPIONNE D’EUROPE 2024 !!!!! J’ADORE MA FRANCE 🇫🇷 !!!! 

PARCOURS FANTASTIQUE COMME CHEZ LES FILLES !!!! UN GROUPE FORMIDABLE !!!!!!

⭐️ AVANT LES J.O 2024 !!!!
#FRADAN https://t.co/Rx187VCDdd",Sun Jan 28 18:38:58 +0000 2024,74,579
6,Lee Taeyong France 🌹🌟,"28.02.2024 [PHOTOS] Mise à jour de la story Instagram de #TAEYONG

《 Je poste tardivement mais l'équipe de Loewe est la meilleure ! 》

#its_arki https://t.co/E9FBF0i0Ij",Wed Feb 28 16:29:23 +0000 2024,0,3
7,Christian DEGBEGNI,"La mèche de l’embrasement de la France est allumée.Augmentation de l’électricité, amenuisement du Pouvoir d’achat, Agriculteurs et pêcheurs en colère.Voilà l’état de notre pays en 2024🇫🇷.
#VivementLe09Juin https://t.co/Il4CKKrIxh",Mon Jan 22 09:03:49 +0000 2024,101,258
8,Lee Taeyong France 🌹🌟,"28.02.2024 [PHOTOS] Mise à jour de la story Instagram de #TAEYONG

《 C'est vraiment une promotion mémorable... 》

《 Merci pour le Top 100 🥹
Pour la première fois, une chanson que j'ai écrite... Merci d'avoir réalisé un si bon disque 》

#its_arki https://t.co/feID2W1NqF",Wed Feb 28 16:37:28 +0000 2024,0,3
9,Ⓜ️Marceau 🇫🇷 Ernest,"Nouvelle Catastrophique pour Requêquette!!!

D'après un sondage BVA du 28/02/2024:

45% des électeurs de Zemmour en 2022 ont l'intention, pour les européennes 2024, de voter... 
Rassemblement National !!!
🥳🥳🥳🇫🇷🇫🇷🇫🇷

Vive Bardella
Vive le RN
Vive la France
💙🤍❤️ https://t.co/E9uRwDj9BP",Wed Feb 28 22:29:18 +0000 2024,19,60
10,Vogue France,"De nombreuses personnalités étaient présentes au défilé @Dior automne hiver 2024. Parmi elles, la chanteuse des #BlackPink #Jisoo, qui a fait sensation dans un look tailoring. #JISOOxDiorAW24 #JISOOxDior #DiorAW24 
--&gt; https://t.co/VPzgoLseUR
© Getty https://t.co/cmmftDJprQ",Tue Feb 27 17:18:48 +0000 2024,3203,7507
